Date	new_tweet	quote	reply	retweet
2017-10-15	0.32997607956691427	0.05975911704225943	0.0692433589323933	0.5419866549162785
2017-10-16	0.2827222202938125	0.0435762743895619	0.04699727322865926	0.6285092235836794
2017-10-17	0.24498305968204326	0.04420647723861271	0.04613968587009234	0.6667227495109246
2017-10-18	0.2326069730586371	0.043423137876386686	0.047662440570522976	0.6782091917591125
2017-10-19	0.2210735314254416	0.05631247432561961	0.04989958464557944	0.6755899402072207
2017-10-20	0.2549749288047941	0.06390970875482642	0.0535143351328686	0.6303789506787567
2017-10-21	0.23615229510141145	0.07457596963586763	0.056280393784841655	0.6372612975922192
2017-10-22	0.19438990182328192	0.06659186535764376	0.06990182328190743	0.6732678821879383
2017-10-23	0.27818112342376766	0.08253725640045854	0.0861673672143676	0.5580817730225449
2017-10-24	0.20285908781484002	0.09408476944573824	0.06123033929275196	0.6463043244598904
2017-10-25	0.2017006423823846	0.09591177453492258	0.06108202443280977	0.6456128625004641
2017-10-26	0.22588715853969876	0.09543017615522083	0.09691090119989788	0.5868266530508042
2017-10-27	0.23082127615280523	0.09326532736546268	0.09305714583116477	0.5910794212553346
2017-10-28	0.22551209239997447	0.09884500031906068	0.08582732435709271	0.597536851509157
2017-10-29	0.23128905682313616	0.08755994768202296	0.06743205929370731	0.6193140531899434
2017-10-30	0.22635758746512127	0.10792015453960077	0.06632324533161622	0.6068254990341275
2017-10-31	0.2145764436530145	0.09393284151615365	0.0673492749936403	0.6299287713050115
2017-11-01	0.218335343787696	0.08763215780884127	0.08422621159440857	0.6162633931739161
2017-11-02	0.22067676977371808	0.092934745000346	0.07999446405093073	0.6106843817036883
2017-11-03	0.2418748433453087	0.1010944941097836	0.07828557105856797	0.5833402957640571
2017-11-04	0.24498319242130998	0.1045125802179892	0.09198329428542325	0.5629010899460121
2017-11-05	0.2497315868584926	0.11971226111230406	0.10961992699162551	0.5258750268413142
2017-11-06	0.23132104624213662	0.10837655887871096	0.09049773755656108	0.5792958834565721
2017-11-07	0.28935740436813534	0.13255902032571645	0.07839919202120944	0.5061229642721878
2017-11-08	0.24546968361249877	0.11058869624840827	0.08198648251542756	0.5667548241747478
2017-11-09	0.2167899646188485	0.09568993245416532	0.10040741932025303	0.5912940924198563
2017-11-10	0.22736238788194574	0.10551192824444527	0.13268078454724777	0.5444192191745134
2017-11-11	0.19232268965816038	0.10705775313028032	0.11775919587539535	0.5938650838351891
