views	n_tweets	n_tweeted
437	2	1641501
442	1	1641502
443	1	1641503
469	1	1641504
488	1	1641505
490	1	1641506
505	1	1641507
517	1	1641508
522	1	1641509
528	1	1641510
535	1	1641511
538	1	1641512
562	1	1641513
566	1	1641514
574	1	1641515
618	1	1641516
630	1	1641517
680	1	1641518
