Date	tweets	people
2018-02-03	32109	6341
2018-02-04	28212	5810
2018-02-05	27500	5645
2018-02-06	35795	8006
2018-02-07	35733	7090
2018-02-08	43325	8617
2018-02-09	54629	9242
2018-02-10	47624	7903
2018-02-11	52107	7566
2018-02-12	58405	8231
2018-02-13	43762	7470
2018-02-14	40706	8381
2018-02-15	31451	6525
2018-02-16	28461	6187
2018-02-17	30405	8865
2018-02-18	24953	6215
2018-02-19	32205	6293
2018-02-20	34496	5823
2018-02-21	29457	5766
2018-02-22	25454	5272
2018-02-23	20024	3595
2018-02-24	19203	3790
2018-02-25	19795	3637
