views	n_tweets	n_tweeted
418	83	1019585
419	95	1019680
420	68	1019748
421	79	1019827
422	78	1019905
423	70	1019975
424	69	1020044
425	81	1020125
426	84	1020209
427	78	1020287
428	90	1020377
429	81	1020458
430	75	1020533
431	90	1020623
432	82	1020705
433	63	1020768
434	80	1020848
435	65	1020913
436	79	1020992
437	68	1021060
438	84	1021144
439	75	1021219
440	75	1021294
441	75	1021369
442	75	1021444
443	74	1021518
444	77	1021595
445	73	1021668
446	64	1021732
447	77	1021809
448	75	1021884
449	74	1021958
450	73	1022031
451	72	1022103
452	74	1022177
453	62	1022239
454	77	1022316
455	73	1022389
456	67	1022456
457	79	1022535
458	73	1022608
459	66	1022674
460	73	1022747
461	66	1022813
462	66	1022879
463	68	1022947
464	67	1023014
465	84	1023098
466	64	1023162
467	59	1023221
468	60	1023281
469	59	1023340
470	65	1023405
471	59	1023464
472	54	1023518
473	73	1023591
474	50	1023641
475	75	1023716
476	58	1023774
477	73	1023847
478	63	1023910
479	65	1023975
480	58	1024033
481	61	1024094
482	51	1024145
483	65	1024210
484	46	1024256
485	47	1024303
486	69	1024372
487	58	1024430
488	63	1024493
489	55	1024548
490	60	1024608
491	58	1024666
492	63	1024729
493	62	1024791
494	52	1024843
495	50	1024893
496	61	1024954
497	62	1025016
498	62	1025078
499	49	1025127
500	44	1025171
501	49	1025220
502	68	1025288
503	55	1025343
504	44	1025387
505	64	1025451
506	57	1025508
507	65	1025573
508	50	1025623
509	48	1025671
510	51	1025722
511	50	1025772
512	52	1025824
513	61	1025885
514	56	1025941
515	67	1026008
516	55	1026063
517	57	1026120
518	44	1026164
519	60	1026224
520	46	1026270
521	45	1026315
522	56	1026371
523	45	1026416
524	49	1026465
525	50	1026515
526	40	1026555
527	57	1026612
528	48	1026660
529	48	1026708
530	48	1026756
531	47	1026803
532	53	1026856
533	47	1026903
534	61	1026964
535	49	1027013
536	49	1027062
537	48	1027110
538	55	1027165
539	44	1027209
540	37	1027246
541	59	1027305
542	43	1027348
543	54	1027402
544	57	1027459
545	57	1027516
546	40	1027556
547	42	1027598
548	60	1027658
549	51	1027709
550	59	1027768
551	56	1027824
552	52	1027876
553	45	1027921
554	39	1027960
555	49	1028009
556	45	1028054
557	55	1028109
558	52	1028161
559	52	1028213
560	41	1028254
561	42	1028296
562	53	1028349
563	42	1028391
564	40	1028431
565	50	1028481
566	43	1028524
567	52	1028576
568	45	1028621
569	27	1028648
570	37	1028685
571	43	1028728
572	44	1028772
573	46	1028818
574	36	1028854
575	40	1028894
576	43	1028937
577	48	1028985
578	62	1029047
579	44	1029091
580	50	1029141
581	44	1029185
582	39	1029224
583	44	1029268
584	39	1029307
585	29	1029336
586	50	1029386
587	41	1029427
588	46	1029473
589	40	1029513
590	45	1029558
591	38	1029596
592	44	1029640
593	33	1029673
594	34	1029707
595	34	1029741
596	36	1029777
597	43	1029820
598	44	1029864
599	58	1029922
600	45	1029967
601	43	1030010
602	42	1030052
603	44	1030096
604	33	1030129
605	40	1030169
606	30	1030199
607	40	1030239
608	39	1030278
609	42	1030320
610	42	1030362
611	27	1030389
612	27	1030416
613	37	1030453
614	45	1030498
615	36	1030534
616	43	1030577
617	46	1030623
618	41	1030664
619	40	1030704
620	41	1030745
621	42	1030787
622	44	1030831
623	37	1030868
624	35	1030903
625	46	1030949
626	32	1030981
627	32	1031013
628	24	1031037
629	28	1031065
630	41	1031106
631	29	1031135
632	41	1031176
633	41	1031217
634	42	1031259
635	27	1031286
636	36	1031322
637	43	1031365
638	44	1031409
639	35	1031444
640	33	1031477
641	30	1031507
642	42	1031549
643	38	1031587
644	43	1031630
645	31	1031661
646	35	1031696
647	37	1031733
648	35	1031768
649	30	1031798
650	31	1031829
651	39	1031868
652	36	1031904
653	31	1031935
654	30	1031965
655	29	1031994
656	37	1032031
657	36	1032067
658	27	1032094
659	29	1032123
660	29	1032152
661	27	1032179
662	25	1032204
663	41	1032245
664	42	1032287
665	34	1032321
666	31	1032352
667	44	1032396
668	31	1032427
669	35	1032462
670	35	1032497
671	27	1032524
672	27	1032551
673	28	1032579
674	27	1032606
675	30	1032636
676	31	1032667
677	36	1032703
678	21	1032724
679	29	1032753
680	23	1032776
681	36	1032812
682	23	1032835
683	27	1032862
684	25	1032887
685	30	1032917
686	31	1032948
687	35	1032983
688	24	1033007
689	33	1033040
690	32	1033072
691	40	1033112
692	38	1033150
693	26	1033176
694	38	1033214
695	25	1033239
696	28	1033267
697	23	1033290
698	33	1033323
699	32	1033355
700	27	1033382
701	31	1033413
702	31	1033444
703	30	1033474
704	22	1033496
705	26	1033522
706	27	1033549
707	24	1033573
708	34	1033607
709	28	1033635
710	30	1033665
711	36	1033701
712	38	1033739
713	23	1033762
714	30	1033792
715	21	1033813
716	19	1033832
717	21	1033853
718	23	1033876
719	26	1033902
720	23	1033925
721	27	1033952
722	25	1033977
723	31	1034008
724	26	1034034
725	34	1034068
726	27	1034095
727	32	1034127
728	34	1034161
729	26	1034187
730	29	1034216
731	29	1034245
732	32	1034277
733	35	1034312
734	20	1034332
735	22	1034354
736	23	1034377
737	31	1034408
738	36	1034444
739	32	1034476
740	24	1034500
741	25	1034525
742	20	1034545
743	23	1034568
744	19	1034587
745	26	1034613
746	24	1034637
747	28	1034665
748	24	1034689
749	25	1034714
750	29	1034743
751	37	1034780
752	30	1034810
753	29	1034839
754	21	1034860
755	26	1034886
756	21	1034907
757	24	1034931
758	22	1034953
759	21	1034974
760	29	1035003
761	19	1035022
762	30	1035052
763	29	1035081
764	20	1035101
765	20	1035121
766	24	1035145
767	27	1035172
768	25	1035197
769	22	1035219
770	20	1035239
771	20	1035259
772	24	1035283
773	18	1035301
774	28	1035329
775	15	1035344
776	18	1035362
777	24	1035386
778	26	1035412
779	20	1035432
780	27	1035459
781	17	1035476
782	21	1035497
783	24	1035521
784	19	1035540
785	20	1035560
786	16	1035576
787	19	1035595
788	24	1035619
789	22	1035641
790	22	1035663
791	32	1035695
792	18	1035713
793	19	1035732
794	30	1035762
795	20	1035782
796	30	1035812
797	15	1035827
798	25	1035852
799	20	1035872
800	28	1035900
801	25	1035925
802	25	1035950
803	20	1035970
804	17	1035987
805	24	1036011
806	22	1036033
807	24	1036057
808	23	1036080
809	24	1036104
810	21	1036125
811	16	1036141
812	26	1036167
813	27	1036194
814	30	1036224
815	19	1036243
816	22	1036265
817	19	1036284
818	19	1036303
819	22	1036325
820	12	1036337
821	27	1036364
822	29	1036393
823	24	1036417
824	19	1036436
825	19	1036455
826	22	1036477
827	19	1036496
828	20	1036516
829	18	1036534
830	17	1036551
831	19	1036570
832	15	1036585
833	16	1036601
834	20	1036621
835	19	1036640
836	13	1036653
837	21	1036674
838	11	1036685
839	24	1036709
840	27	1036736
841	21	1036757
842	18	1036775
843	16	1036791
844	21	1036812
845	16	1036828
846	23	1036851
847	25	1036876
848	21	1036897
849	16	1036913
850	19	1036932
851	15	1036947
852	21	1036968
853	22	1036990
854	15	1037005
855	22	1037027
856	21	1037048
857	19	1037067
858	18	1037085
859	16	1037101
860	20	1037121
861	24	1037145
862	22	1037167
863	14	1037181
864	18	1037199
865	19	1037218
866	22	1037240
867	20	1037260
868	20	1037280
869	21	1037301
870	20	1037321
871	19	1037340
872	21	1037361
873	24	1037385
874	20	1037405
875	24	1037429
876	24	1037453
877	15	1037468
878	20	1037488
879	25	1037513
880	16	1037529
881	21	1037550
882	23	1037573
883	15	1037588
884	13	1037601
885	22	1037623
886	19	1037642
887	20	1037662
888	13	1037675
889	19	1037694
890	23	1037717
891	17	1037734
892	17	1037751
893	21	1037772
894	25	1037797
895	19	1037816
896	20	1037836
897	13	1037849
898	17	1037866
899	17	1037883
900	14	1037897
901	18	1037915
902	14	1037929
903	20	1037949
904	21	1037970
905	17	1037987
906	14	1038001
907	10	1038011
908	18	1038029
909	27	1038056
910	18	1038074
911	16	1038090
912	15	1038105
913	16	1038121
