views	n_tweets	n_tweeted	n_viewers
187	797.0	612761.0	54724.0
188	815.0	613576.0	52762.0
189	785.0	614361.0	52678.0
190	837.0	615198.0	53466.0
191	780.0	615978.0	51012.0
192	765.0	616743.0	49670.0
193	781.0	617524.0	52219.0
194	810.0	618334.0	48920.0
195	756.0	619090.0	52070.0
196	779.0	619869.0	48128.0
197	802.0	620671.0	46975.0
198	779.0	621450.0	47643.0
199	758.0	622208.0	48131.0
200	754.0	622962.0	46687.0
201	791.0	623753.0	45182.0
202	798.0	624551.0	44334.0
203	753.0	625304.0	44563.0
204	717.0	626021.0	43824.0
205	722.0	626743.0	42930.0
206	737.0	627480.0	42581.0
207	753.0	628233.0	42552.0
208	765.0	628998.0	41668.0
209	683.0	629681.0	41166.0
210	727.0	630408.0	40993.0
211	713.0	631121.0	40236.0
212	678.0	631799.0	41637.0
213	737.0	632536.0	40466.0
214	703.0	633239.0	40561.0
215	704.0	633943.0	41895.0
216	745.0	634688.0	39901.0
217	717.0	635405.0	39164.0
218	678.0	636083.0	38639.0
219	675.0	636758.0	37795.0
220	681.0	637439.0	37634.0
221	681.0	638120.0	39037.0
222	707.0	638827.0	36883.0
223	680.0	639507.0	36861.0
224	679.0	640186.0	37548.0
225	705.0	640891.0	36195.0
226	653.0	641544.0	35705.0
227	695.0	642239.0	37245.0
228	647.0	642886.0	35540.0
229	651.0	643537.0	35065.0
230	673.0	644210.0	35331.0
231	647.0	644857.0	35515.0
232	639.0	645496.0	34847.0
233	663.0	646159.0	33539.0
234	608.0	646767.0	32835.0
235	640.0	647407.0	32761.0
236	636.0	648043.0	32657.0
237	657.0	648700.0	31831.0
238	613.0	649313.0	31676.0
239	616.0	649929.0	31190.0
240	642.0	650571.0	30970.0
241	626.0	651197.0	30136.0
242	588.0	651785.0	30290.0
243	647.0	652432.0	29966.0
244	610.0	653042.0	29586.0
245	590.0	653632.0	29185.0
246	610.0	654242.0	30412.0
247	617.0	654859.0	28546.0
248	590.0	655449.0	28120.0
249	618.0	656067.0	28422.0
250	561.0	656628.0	28355.0
251	585.0	657213.0	28093.0
252	554.0	657767.0	27144.0
253	577.0	658344.0	27112.0
254	614.0	658958.0	27011.0
255	582.0	659540.0	26803.0
256	578.0	660118.0	27275.0
257	617.0	660735.0	26579.0
258	578.0	661313.0	26082.0
259	552.0	661865.0	26150.0
260	578.0	662443.0	25482.0
261	601.0	663044.0	25604.0
262	526.0	663570.0	26401.0
263	574.0	664144.0	26419.0
264	551.0	664695.0	32260.0
265	580.0	665275.0	26859.0
266	573.0	665848.0	26036.0
267	536.0	666384.0	26697.0
268	533.0	666917.0	26213.0
269	488.0	667405.0	25387.0
270	548.0	667953.0	26760.0
271	567.0	668520.0	25487.0
272	564.0	669084.0	24312.0
273	522.0	669606.0	24613.0
274	552.0	670158.0	24323.0
275	539.0	670697.0	23745.0
276	533.0	671230.0	24020.0
277	542.0	671772.0	23293.0
278	511.0	672283.0	23931.0
279	538.0	672821.0	23104.0
280	517.0	673338.0	22962.0
281	549.0	673887.0	37293.0
282	535.0	674422.0	23772.0
283	547.0	674969.0	26457.0
284	454.0	675423.0	23645.0
285	507.0	675930.0	24373.0
286	516.0	676446.0	22548.0
287	492.0	676938.0	23148.0
288	501.0	677439.0	24989.0
289	507.0	677946.0	22545.0
290	506.0	678452.0	23513.0
291	452.0	678904.0	23086.0
292	512.0	679416.0	22608.0
293	486.0	679902.0	22446.0
294	491.0	680393.0	28256.0
295	484.0	680877.0	23858.0
296	460.0	681337.0	21790.0
297	486.0	681823.0	21631.0
298	469.0	682292.0	21152.0
299	483.0	682775.0	21489.0
300	500.0	683275.0	20793.0
301	489.0	683764.0	20669.0
302	497.0	684261.0	20774.0
303	471.0	684732.0	20707.0
304	491.0	685223.0	20223.0
305	455.0	685678.0	19782.0
306	507.0	686185.0	19641.0
307	456.0	686641.0	19354.0
308	454.0	687095.0	19849.0
309	513.0	687608.0	19475.0
310	464.0	688072.0	19211.0
311	460.0	688532.0	20374.0
312	405.0	688937.0	19353.0
313	470.0	689407.0	19466.0
314	442.0	689849.0	18753.0
315	462.0	690311.0	18440.0
316	459.0	690770.0	23122.0
317	425.0	691195.0	17946.0
318	448.0	691643.0	18216.0
319	424.0	692067.0	18709.0
320	466.0	692533.0	18344.0
321	434.0	692967.0	36213.0
322	474.0	693441.0	20474.0
323	462.0	693903.0	18713.0
324	422.0	694325.0	17926.0
325	423.0	694748.0	17543.0
326	437.0	695185.0	17301.0
327	469.0	695654.0	17188.0
328	441.0	696095.0	17090.0
329	420.0	696515.0	17772.0
330	414.0	696929.0	16733.0
331	402.0	697331.0	16804.0
332	438.0	697769.0	16779.0
333	437.0	698206.0	16922.0
334	435.0	698641.0	16248.0
335	415.0	699056.0	16190.0
336	449.0	699505.0	16075.0
337	430.0	699935.0	16026.0
338	411.0	700346.0	15906.0
339	364.0	700710.0	15874.0
340	395.0	701105.0	15746.0
341	417.0	701522.0	15553.0
342	406.0	701928.0	15109.0
343	416.0	702344.0	15129.0
344	410.0	702754.0	14963.0
345	431.0	703185.0	15287.0
346	409.0	703594.0	14934.0
347	407.0	704001.0	14814.0
348	466.0	704467.0	15074.0
349	374.0	704841.0	14673.0
350	359.0	705200.0	15319.0
351	433.0	705633.0	14617.0
352	389.0	706022.0	14625.0
353	410.0	706432.0	14594.0
354	421.0	706853.0	14418.0
355	343.0	707196.0	14456.0
356	372.0	707568.0	14311.0
357	437.0	708005.0	13943.0
358	396.0	708401.0	14163.0
359	394.0	708795.0	14147.0
360	416.0	709211.0	14683.0
361	415.0	709626.0	13801.0
362	389.0	710015.0	13934.0
363	374.0	710389.0	13741.0
364	421.0	710810.0	13678.0
365	394.0	711204.0	13563.0
366	359.0	711563.0	13570.0
367	404.0	711967.0	13211.0
368	374.0	712341.0	12913.0
369	367.0	712708.0	13199.0
370	367.0	713075.0	13327.0
371	410.0	713485.0	13025.0
372	387.0	713872.0	13198.0
373	363.0	714235.0	12955.0
374	375.0	714610.0	13243.0
375	382.0	714992.0	12958.0
376	379.0	715371.0	12852.0
377	366.0	715737.0	12746.0
378	324.0	716061.0	12809.0
379	339.0	716400.0	12701.0
380	382.0	716782.0	12662.0
381	354.0	717136.0	12445.0
382	348.0	717484.0	12354.0
383	342.0	717826.0	12554.0
384	348.0	718174.0	12276.0
385	310.0	718484.0	12508.0
386	355.0	718839.0	12181.0
387	318.0	719157.0	12098.0
388	349.0	719506.0	12104.0
389	347.0	719853.0	12025.0
390	340.0	720193.0	11988.0
391	370.0	720563.0	12021.0
392	360.0	720923.0	12446.0
393	378.0	721301.0	12137.0
394	394.0	721695.0	11920.0
395	334.0	722029.0	11837.0
396	355.0	722384.0	20197.0
397	360.0	722744.0	12487.0
398	334.0	723078.0	12462.0
399	335.0	723413.0	11814.0
400	359.0	723772.0	11771.0
401	338.0	724110.0	11675.0
402	390.0	724500.0	11606.0
403	341.0	724841.0	11257.0
404	336.0	725177.0	11246.0
405	365.0	725542.0	11222.0
406	354.0	725896.0	11125.0
407	350.0	726246.0	11450.0
408	344.0	726590.0	10846.0
409	334.0	726924.0	11046.0
410	334.0	727258.0	10665.0
411	363.0	727621.0	10926.0
412	355.0	727976.0	10570.0
413	309.0	728285.0	10510.0
414	338.0	728623.0	10594.0
415	295.0	728918.0	10667.0
416	331.0	729249.0	10453.0
417	294.0	729543.0	10326.0
418	310.0	729853.0	10541.0
419	340.0	730193.0	10234.0
420	355.0	730548.0	10092.0
421	328.0	730876.0	10411.0
422	327.0	731203.0	12853.0
423	334.0	731537.0	12388.0
424	337.0	731874.0	11947.0
425	321.0	732195.0	11456.0
426	290.0	732485.0	10169.0
427	286.0	732771.0	11045.0
428	326.0	733097.0	10148.0
429	316.0	733413.0	10250.0
430	293.0	733706.0	10288.0
431	311.0	734017.0	10096.0
432	305.0	734322.0	9774.0
433	286.0	734608.0	9720.0
434	335.0	734943.0	9587.0
435	305.0	735248.0	10199.0
436	290.0	735538.0	9745.0
437	276.0	735814.0	9716.0
438	317.0	736131.0	9470.0
439	300.0	736431.0	9353.0
440	268.0	736699.0	9553.0
441	300.0	736999.0	9516.0
442	284.0	737283.0	9324.0
443	320.0	737603.0	9617.0
444	301.0	737904.0	9177.0
445	305.0	738209.0	9488.0
446	297.0	738506.0	9122.0
447	288.0	738794.0	8876.0
448	267.0	739061.0	8920.0
449	277.0	739338.0	9262.0
450	296.0	739634.0	9168.0
451	313.0	739947.0	10187.0
452	299.0	740246.0	9102.0
453	302.0	740548.0	9029.0
454	287.0	740835.0	8763.0
455	314.0	741149.0	8686.0
456	287.0	741436.0	8604.0
457	288.0	741724.0	8664.0
458	300.0	742024.0	8657.0
459	315.0	742339.0	8567.0
460	261.0	742600.0	8846.0
461	295.0	742895.0	8693.0
462	263.0	743158.0	8737.0
463	234.0	743392.0	8327.0
464	276.0	743668.0	8357.0
465	261.0	743929.0	8594.0
466	246.0	744175.0	8196.0
467	265.0	744440.0	11756.0
468	291.0	744731.0	8600.0
469	295.0	745026.0	9825.0
470	286.0	745312.0	8443.0
471	291.0	745603.0	8355.0
472	280.0	745883.0	8259.0
473	276.0	746159.0	8392.0
474	262.0	746421.0	8494.0
475	309.0	746730.0	8136.0
476	264.0	746994.0	8804.0
477	293.0	747287.0	8140.0
478	273.0	747560.0	8521.0
479	307.0	747867.0	8398.0
480	267.0	748134.0	8432.0
481	288.0	748422.0	8062.0
482	285.0	748707.0	7935.0
483	296.0	749003.0	7793.0
484	269.0	749272.0	8393.0
485	264.0	749536.0	8343.0
486	263.0	749799.0	8419.0
487	266.0	750065.0	8127.0
488	265.0	750330.0	7719.0
489	262.0	750592.0	8136.0
490	241.0	750833.0	7694.0
491	265.0	751098.0	7726.0
492	266.0	751364.0	7634.0
493	253.0	751617.0	7737.0
494	274.0	751891.0	7626.0
495	253.0	752144.0	7472.0
496	278.0	752422.0	7232.0
497	265.0	752687.0	7481.0
498	267.0	752954.0	7352.0
499	256.0	753210.0	7487.0
500	268.0	753478.0	7204.0
501	267.0	753745.0	7390.0
502	243.0	753988.0	7330.0
503	292.0	754280.0	7172.0
504	281.0	754561.0	7095.0
505	260.0	754821.0	7276.0
506	280.0	755101.0	7204.0
507	246.0	755347.0	7152.0
508	279.0	755626.0	7032.0
509	262.0	755888.0	6983.0
510	238.0	756126.0	6974.0
511	257.0	756383.0	6923.0
