views	n_tweets	n_tweeted	n_viewers
182	755.0	1153424.0	5663.0
183	756.0	1154180.0	5505.0
184	712.0	1154892.0	5268.0
185	697.0	1155589.0	5311.0
186	764.0	1156353.0	5373.0
187	676.0	1157029.0	5115.0
188	726.0	1157755.0	5122.0
189	783.0	1158538.0	5001.0
190	680.0	1159218.0	4977.0
191	716.0	1159934.0	4831.0
192	693.0	1160627.0	4918.0
193	728.0	1161355.0	4734.0
194	696.0	1162051.0	4696.0
195	663.0	1162714.0	4597.0
196	645.0	1163359.0	4738.0
197	675.0	1164034.0	4592.0
198	657.0	1164691.0	4493.0
199	653.0	1165344.0	4494.0
200	656.0	1166000.0	4426.0
201	594.0	1166594.0	4379.0
202	648.0	1167242.0	4256.0
203	622.0	1167864.0	4337.0
204	655.0	1168519.0	4224.0
205	664.0	1169183.0	4180.0
206	642.0	1169825.0	4250.0
207	593.0	1170418.0	4115.0
208	598.0	1171016.0	4021.0
209	618.0	1171634.0	3894.0
210	599.0	1172233.0	3990.0
211	609.0	1172842.0	3870.0
212	601.0	1173443.0	3868.0
213	595.0	1174038.0	3887.0
214	615.0	1174653.0	3764.0
215	571.0	1175224.0	3762.0
216	585.0	1175809.0	3684.0
217	567.0	1176376.0	3605.0
218	555.0	1176931.0	3604.0
219	538.0	1177469.0	3554.0
220	533.0	1178002.0	3466.0
221	607.0	1178609.0	3435.0
222	595.0	1179204.0	3391.0
223	508.0	1179712.0	3417.0
224	542.0	1180254.0	3345.0
225	515.0	1180769.0	3251.0
226	518.0	1181287.0	3324.0
227	497.0	1181784.0	3258.0
228	560.0	1182344.0	3303.0
229	529.0	1182873.0	3236.0
230	513.0	1183386.0	3181.0
231	486.0	1183872.0	3095.0
232	549.0	1184421.0	3041.0
233	518.0	1184939.0	3034.0
234	546.0	1185485.0	2942.0
235	513.0	1185998.0	3007.0
236	479.0	1186477.0	3011.0
237	477.0	1186954.0	2925.0
238	465.0	1187419.0	2866.0
239	545.0	1187964.0	2899.0
240	486.0	1188450.0	2727.0
241	439.0	1188889.0	2825.0
242	491.0	1189380.0	2821.0
243	505.0	1189885.0	2824.0
244	484.0	1190369.0	2664.0
245	484.0	1190853.0	2716.0
246	490.0	1191343.0	2679.0
247	462.0	1191805.0	2598.0
248	446.0	1192251.0	2620.0
249	440.0	1192691.0	2545.0
250	420.0	1193111.0	2595.0
251	454.0	1193565.0	2577.0
252	446.0	1194011.0	2501.0
253	383.0	1194394.0	2477.0
254	423.0	1194817.0	2510.0
255	472.0	1195289.0	2458.0
256	436.0	1195725.0	2455.0
257	419.0	1196144.0	2412.0
258	386.0	1196530.0	2331.0
259	400.0	1196930.0	2396.0
260	412.0	1197342.0	2356.0
261	404.0	1197746.0	2333.0
262	404.0	1198150.0	2235.0
263	404.0	1198554.0	2210.0
264	377.0	1198931.0	2286.0
265	417.0	1199348.0	2148.0
266	389.0	1199737.0	2262.0
267	379.0	1200116.0	2221.0
268	379.0	1200495.0	2150.0
269	375.0	1200870.0	2189.0
270	391.0	1201261.0	2120.0
271	413.0	1201674.0	2103.0
272	370.0	1202044.0	2057.0
273	354.0	1202398.0	2114.0
274	388.0	1202786.0	2079.0
275	360.0	1203146.0	2044.0
276	374.0	1203520.0	1960.0
277	338.0	1203858.0	2009.0
278	366.0	1204224.0	1964.0
279	364.0	1204588.0	1900.0
280	385.0	1204973.0	1865.0
281	345.0	1205318.0	1861.0
282	341.0	1205659.0	1888.0
283	363.0	1206022.0	1823.0
284	326.0	1206348.0	1871.0
285	353.0	1206701.0	1870.0
286	366.0	1207067.0	1809.0
287	350.0	1207417.0	1847.0
288	348.0	1207765.0	1904.0
289	356.0	1208121.0	1824.0
290	361.0	1208482.0	1689.0
291	382.0	1208864.0	1778.0
292	337.0	1209201.0	1721.0
293	324.0	1209525.0	1702.0
294	331.0	1209856.0	1677.0
295	329.0	1210185.0	1619.0
296	331.0	1210516.0	1656.0
297	296.0	1210812.0	1660.0
298	325.0	1211137.0	1644.0
299	332.0	1211469.0	1676.0
300	314.0	1211783.0	1627.0
301	346.0	1212129.0	1590.0
302	350.0	1212479.0	1604.0
303	306.0	1212785.0	1604.0
304	342.0	1213127.0	1544.0
305	338.0	1213465.0	1565.0
306	272.0	1213737.0	1455.0
307	330.0	1214067.0	1532.0
308	310.0	1214377.0	1533.0
309	296.0	1214673.0	1508.0
310	300.0	1214973.0	1449.0
311	291.0	1215264.0	1498.0
312	320.0	1215584.0	1544.0
313	322.0	1215906.0	1439.0
314	284.0	1216190.0	1447.0
315	276.0	1216466.0	1452.0
316	302.0	1216768.0	1478.0
317	311.0	1217079.0	1380.0
318	286.0	1217365.0	1392.0
319	247.0	1217612.0	1405.0
320	300.0	1217912.0	1377.0
321	274.0	1218186.0	1386.0
322	309.0	1218495.0	1289.0
323	271.0	1218766.0	1324.0
324	285.0	1219051.0	1351.0
325	287.0	1219338.0	1338.0
326	236.0	1219574.0	1303.0
327	281.0	1219855.0	1300.0
328	258.0	1220113.0	1335.0
329	292.0	1220405.0	1275.0
330	257.0	1220662.0	1333.0
331	271.0	1220933.0	1281.0
332	271.0	1221204.0	1232.0
333	232.0	1221436.0	1299.0
334	305.0	1221741.0	1218.0
335	280.0	1222021.0	1217.0
336	284.0	1222305.0	1209.0
337	261.0	1222566.0	1252.0
338	256.0	1222822.0	1154.0
339	274.0	1223096.0	1155.0
340	268.0	1223364.0	1126.0
341	237.0	1223601.0	1198.0
342	287.0	1223888.0	1178.0
343	250.0	1224138.0	1164.0
344	268.0	1224406.0	1175.0
345	232.0	1224638.0	1145.0
346	261.0	1224899.0	1030.0
347	261.0	1225160.0	1166.0
348	229.0	1225389.0	1146.0
349	258.0	1225647.0	1127.0
350	206.0	1225853.0	1073.0
351	263.0	1226116.0	1089.0
352	248.0	1226364.0	1078.0
353	222.0	1226586.0	1023.0
354	210.0	1226796.0	1048.0
355	235.0	1227031.0	1093.0
356	250.0	1227281.0	1132.0
357	229.0	1227510.0	1045.0
358	235.0	1227745.0	1013.0
359	267.0	1228012.0	1000.0
360	223.0	1228235.0	1054.0
361	219.0	1228454.0	969.0
362	226.0	1228680.0	1037.0
363	206.0	1228886.0	987.0
364	253.0	1229139.0	928.0
365	244.0	1229383.0	1019.0
366	237.0	1229620.0	989.0
367	221.0	1229841.0	993.0
368	224.0	1230065.0	1023.0
369	220.0	1230285.0	945.0
370	191.0	1230476.0	945.0
371	251.0	1230727.0	942.0
372	211.0	1230938.0	912.0
373	228.0	1231166.0	937.0
374	209.0	1231375.0	932.0
375	229.0	1231604.0	923.0
376	231.0	1231835.0	906.0
377	196.0	1232031.0	937.0
378	205.0	1232236.0	922.0
379	211.0	1232447.0	882.0
380	214.0	1232661.0	884.0
381	219.0	1232880.0	836.0
382	196.0	1233076.0	876.0
383	213.0	1233289.0	865.0
384	209.0	1233498.0	832.0
385	241.0	1233739.0	812.0
386	200.0	1233939.0	825.0
387	196.0	1234135.0	814.0
388	195.0	1234330.0	855.0
389	205.0	1234535.0	876.0
390	192.0	1234727.0	790.0
391	190.0	1234917.0	832.0
392	182.0	1235099.0	814.0
393	202.0	1235301.0	806.0
394	195.0	1235496.0	785.0
395	199.0	1235695.0	792.0
396	218.0	1235913.0	825.0
397	190.0	1236103.0	833.0
398	213.0	1236316.0	807.0
399	201.0	1236517.0	793.0
400	206.0	1236723.0	747.0
401	206.0	1236929.0	780.0
402	171.0	1237100.0	758.0
403	186.0	1237286.0	790.0
404	179.0	1237465.0	783.0
405	188.0	1237653.0	776.0
406	171.0	1237824.0	773.0
407	202.0	1238026.0	724.0
408	170.0	1238196.0	791.0
409	182.0	1238378.0	774.0
410	185.0	1238563.0	761.0
411	177.0	1238740.0	768.0
412	190.0	1238930.0	786.0
413	197.0	1239127.0	749.0
414	184.0	1239311.0	700.0
415	193.0	1239504.0	760.0
416	204.0	1239708.0	698.0
417	174.0	1239882.0	734.0
418	191.0	1240073.0	693.0
419	190.0	1240263.0	686.0
